author,published_at,updated_at,like_count,text
@all4tactical,2024-12-16T19:12:33Z,2024-12-16T19:12:33Z,0,3 years updates only lol.
@nicknorthcutt7680,2024-12-16T05:50:50Z,2024-12-16T05:50:50Z,0,OnePlus has been killing it!! 🔥🔥
@s4yto,2024-12-14T19:59:49Z,2024-12-14T19:59:49Z,0,no headphone jack pass im good
@KaraBlackk,2024-12-13T19:57:10Z,2024-12-13T19:58:05Z,0,can whole planet please stop calling these devices phones... they are computers which can make phone calls... its a computer not a phone ! phones died in 1995
@bilhary2148,2024-12-13T17:31:09Z,2024-12-13T17:31:09Z,0,Nowadays one plus over price going on top not worth 😏😏😏😏
@yatheeshchandra718,2024-12-13T14:15:48Z,2024-12-13T14:15:48Z,1,OnePlus is making a joke of itself by not opting for a global release amd going for a China first release. Global release coming after few month. Why so much hype for a Chinese phone ? Maybe its time for a new brand to beat the hype.
@Broken.Pashtoon,2024-12-13T07:36:57Z,2024-12-13T07:36:57Z,0,Cost?
@sanjuakki7428,2024-12-13T07:08:14Z,2024-12-13T07:08:14Z,0,Watching on my OnePlus nord 4❤😊
@azf1nest23,2024-12-13T06:57:47Z,2024-12-13T06:57:47Z,0,Watching on my one plus 7t pro McLaren.
@murtazafahim4960,2024-12-13T03:44:21Z,2024-12-13T03:44:21Z,0,"Hey guys! Same here using my OnePlus 7 Pro to this day. Bought it the same year it launched. Have the Almond color one 😁. But I have some cons to share 😢 starting with the display, tbh one of the best displays of all time to this day! But still my display is kinda cooked now. Like where the wifi indicator and battery percentage shows, that spot on my screen is etched 😢. Having no more updates is sad. Also my phone hangs sometimes when charging is low, I wouldn&#39;t say it hangs but it&#39;s kinda worse than that. Like when my phone is low on battery and for example I open a third party app like Snapchat or Whatsapp and open their camera. My phone just stops there. And I can&#39;t do anything about it, it just restarts and I have to charge it asap or I&#39;ll hang like that again. Well I think it&#39;s time for an update 😅. Thinking of buying the new OnePlus Nord 4 or OnePlus 12r. Both are great for the money tbh. But having trouble choosing 😂. Well,.... If you read this, a recommendation would be great. ❤️"
@SigmaInstitutePlatform,2024-12-12T22:38:34Z,2024-12-12T22:38:34Z,0,Introducing the $hitplus 13
@KarthiKeyan-eh6ue,2024-12-12T18:18:44Z,2024-12-12T18:18:44Z,0,Still 1+7
@sergiospain2447,2024-12-12T14:56:43Z,2024-12-12T14:57:00Z,1,"Why can&#39;t you make a phone without a hole on the screen? Never use that front camera anyways, so what is the point of having it in the first place"
@shivamlive027,2024-12-12T09:16:56Z,2024-12-12T09:16:56Z,0,very bad design
@tonysamtraktrainvideos,2024-12-12T06:22:29Z,2024-12-12T06:22:29Z,0,"That&#39;s definitely looks more like a OnePlus 13R but where&#39;s the periscope lens? Oneplus 12 has it but not this is new OnePlus 13?<br><br>I&#39;m still using the using the OnePlus 8T and I&#39;m still trying to find the right time to get myself a new phone but sadly, I can&#39;t.<br>The problem with my 8T is the battery drains whenever it wants to rather if I&#39;m using it or not, and the corner of the phone where the camera is, is coming off when the case is still on it."
